Report generated on: 04-06-2022 16:33:45,
Series Key,INTL.57-1-WORL-TBPD.M
Series Name,"Crude oil including lease condensate production, World, Monthly"
Units,TBPD
Frequency,M
,
,
,
,
1981-10,54556
1981-11,53983
1981-12,54949
1982-01,54696
1982-02,54058
1982-03,52236
1982-04,50937
1982-05,51783
1982-06,53724
1982-07,53304
1982-08,53226
1982-09,53081
1982-10,54797
1982-11,55386
1982-12,54252
1983-01,52763
1983-02,49812
1983-03,50736
1983-04,50959
1983-05,52659
1983-06,52869
1983-07,54652
1983-08,54499
1983-09,55153
1983-10,54892
1983-11,55260
1983-12,54455
1984-01,54577
1984-02,54928
1984-03,54650
1984-04,54849
1984-05,54468
1984-06,55745
1984-07,55025
1984-08,53346
1984-09,53805
1984-10,54217
1984-11,54234
1984-12,54194
1985-01,52957
1985-02,54427
1985-03,54645
1985-04,54220
1985-05,52783
1985-06,51324
1985-07,52353
1985-08,52216
1985-09,54096
1985-10,55779
1985-11,56257
1985-12,56572
1986-01,55650
1986-02,55660
1986-03,55163
1986-04,55267
1986-05,56448
1986-06,57220
1986-07,58359
1986-08,59013
1986-09,54978
1986-10,55335
1986-11,56264
1986-12,56435
1987-01,55635
1987-02,54938
1987-03,54197
1987-04,54870
1987-05,55675
1987-06,55376
1987-07,57940
1987-08,58738
1987-09,58130
1987-10,58325
1987-11,57863
1987-12,57937
1988-01,57138
1988-02,57218
1988-03,57579
1988-04,57890
1988-05,57607
1988-06,57272
1988-07,57696
1988-08,58853
1988-09,59207
1988-10,60891
1988-11,61350
1988-12,61597
1989-01,58707
1989-02,58228
1989-03,58630
1989-04,59060
1989-05,58981
1989-06,59018
1989-07,59536
1989-08,60429
1989-09,60512
1989-10,61082
1989-11,61842
1989-12,61485
1990-01,60921
1990-02,61179
1990-03,62082
1990-04,61806
1990-05,61238
1990-06,60409
1990-07,60514
1990-08,56966
1990-09,59514
1990-10,59854
1990-11,60672
1990-12,60884
1991-01,60637
1991-02,60327
1991-03,60582
1991-04,59183
1991-05,59006
1991-06,59199
1991-07,60192
1991-08,59495
1991-09,60534
1991-10,60489
1991-11,60735
1991-12,61143
1992-01,61260
1992-02,60423
1992-03,59773
1992-04,60133
1992-05,59005
1992-06,59248
1992-07,59713
1992-08,59699
1992-09,59961
1992-10,60759
1992-11,60470
1992-12,60790
1993-01,60602
1993-02,60965
1993-03,60257
1993-04,59578
1993-05,59714
1993-06,59473
1993-07,60069
1993-08,59895
1993-09,59921
1993-10,60385
1993-11,60446
1993-12,60838
1994-01,61139
1994-02,60961
1994-03,60869
1994-04,60411
1994-05,60850
1994-06,61162
1994-07,60766
1994-08,60662
1994-09,61273
1994-10,61769
1994-11,61943
1994-12,62267
1995-01,61842
1995-02,62344
1995-03,61604
1995-04,62401
1995-05,62413
1995-06,61555
1995-07,62506
1995-08,62640
1995-09,63036
1995-10,62672
1995-11,62891
1995-12,63287
1996-01,63238
1996-02,63634
1996-03,63484
1996-04,63339
1996-05,63338
1996-06,63661
1996-07,63737
1996-08,63386
1996-09,63858
1996-10,64223
1996-11,64672
1996-12,65242
1997-01,65180
1997-02,65540
1997-03,65527
1997-04,66049
1997-05,65394
1997-06,64622
1997-07,65069
1997-08,65950
1997-09,66312
1997-10,66828
1997-11,66681
1997-12,66495
1998-01,67711
1998-02,68084
1998-03,67965
1998-04,67830
1998-05,67296
1998-06,67018
1998-07,66880
1998-08,65906
1998-09,65987
1998-10,66102
1998-11,66947
1998-12,66772
1999-01,66987
1999-02,67313
1999-03,66989
1999-04,65546
1999-05,65353
1999-06,64308
1999-07,65819
1999-08,65706
1999-09,65748
1999-10,66254
1999-11,66236
1999-12,65428
2000-01,66450
2000-02,67066
2000-03,67099
2000-04,67758
2000-05,68276
2000-06,68074
2000-07,68695
2000-08,69526
2000-09,69543
2000-10,69980
2000-11,70536
2000-12,69280
2001-01,69197
2001-02,68719
2001-03,69381
