Year,Month,YM,UncertaintyIndex
1985,1,1,0.490430811
1985,2,2,0.499606083
1985,3,3,0.544394185
1985,4,4,0.639156862
1985,5,5,0.669487937
1985,6,6,0.63716423
1985,7,7,0.544417816
1985,8,8,0.580589353
1985,9,9,0.55417987
1985,10,10,0.537704671
1985,11,11,0.560575826
1985,12,12,0.569045558
1986,1,13,0.585581695
1986,2,14,0.558505958
1986,3,15,0.623696982
1986,4,16,0.640096558
1986,5,17,0.654520961
1986,6,18,0.625353588
1986,7,19,0.580792262
1986,8,20,0.604794275
1986,9,21,0.539249513
1986,10,22,0.56301015
1986,11,23,0.551294284
1986,12,24,0.550676746
1987,1,25,0.529798574
1987,2,26,0.58011351
1987,3,27,0.601028772
1987,4,28,0.643991416
1987,5,29,0.588167265
1987,6,30,0.649903558
1987,7,31,0.621148069
1987,8,32,0.59403752
1987,9,33,0.580999569
1987,10,34,0.52048186
1987,11,35,0.574394992
1987,12,36,0.550447643
1988,1,37,0.520198887
1988,2,38,0.558169827
1988,3,39,0.601038021
1988,4,40,0.636940121
1988,5,41,0.590396217
1988,6,42,0.588101806
1988,7,43,0.61536502
1988,8,44,0.525311692
1988,9,45,0.549122578
1988,10,46,0.543757239
1988,11,47,0.601354654
1988,12,48,0.495398405
1989,1,49,0.557742544
1989,2,50,0.563074973
1989,3,51,0.594511036
1989,4,52,0.671161105
1989,5,53,0.623637384
1989,6,54,0.595409913
1989,7,55,0.57764297
1989,8,56,0.588042069
1989,9,57,0.554232097
1989,10,58,0.501094553
1989,11,59,0.563770815
1989,12,60,0.532629072
1990,1,61,0.530809228
1990,2,62,0.533528905
1990,3,63,0.546409716
1990,4,64,0.620861618
1990,5,65,0.589479595
1990,6,66,0.626889882
1990,7,67,0.541797647
1990,8,68,0.743544853
1990,9,69,0.711759562
1990,10,70,0.597359524
1990,11,71,0.617457171
1990,12,72,0.643464364
1991,1,73,0.71929283
1991,2,74,0.629622814
1991,3,75,0.618105414
1991,4,76,0.605159951
